,name,iata_code
0,Utirik Airport,UTK
1,Ocean Reef Club Airport,OCA
2,Cuddihy Field,CUX
3,Crested Butte Airpark,CSE
4,Columbus Airport,CUS
5,LBJ Ranch Airport,JCY
6,Loring Seaplane Base,WLR
7,Nunapitchuk Airport,NUP
8,Port Alice Seaplane Base,PTC
9,Icy Bay Airport,ICY
10,Port Protection Seaplane Base,PPV
11,Kalakaket Creek AS Airport,KKK
12,Dunsmuir Muni-Mott Airport,MHS
13,Chase Field Industrial Airport,NIR
14,Grand Canyon Bar Ten Airstrip,GCT
15,Ellamar Seaplane Base,ELW
16,Lime Village Airport,LVD
17,Hog River Airport,HGZ
18,Ed-Air Airport,OTN
19,Telida Airport,TLF
20,Eagle Air Park,BZT
21,Entrance Island Seaplane Base,HBH
22,False Island Seaplane Base,FAK
23,Blakely Island Airport,BYW
24,Drift River Airport,DRF
25,Rinkenberger Restricted Landing Area,BDF
26,Tetlin Airport,TEH
27,Roy Otten Memorial Airfield,VRS
28,Golden Horn Lodge Seaplane Base,GDH
29,Atmautluak Airport,ATT
30,Livengood Camp Airport,LIV
31,Pedro Bay Airport,PDB
32,Ouzinkie Airport,KOZ
33,Tununak Airport,TNK
34,Hyder Seaplane Base,WHD
35,Minto Al Wright Airport,MNT
36,Tokeen Seaplane Base,TKI
37,Aleknagik / New Airport,WKK
38,Ketchikan Harbor Seaplane Base,WFB
39,Rollang Field,RFK
40,Naknek Airport,NNK
41,Lake Brooks Seaplane Base,BKF
42,Southern Seaplane Airport,BCS
43,Minute Man Air Field,MMN
44,Catalina Air-Sea Terminal Heliport,SPQ
45,East 34th Street Heliport,TSS
46,New York Skyports Inc Seaplane Base,NYS
47,Earl Henry Airport,BWL
48,Yes Bay Lodge Seaplane Base,WYB
49,Center Island Airport,CWS
50,Tatitlek Airport,TEK
51,Pine Island Airport,DUF
52,Stuart Island Airpark,SSW
53,Fort Bragg Airport,FOB
54,Port of Poulsbo Marina Moorage Seaplane Base,PUL
55,Century City Heliport,CCD
56,Meyers Chuck Seaplane Base,WMK
57,Maxson Airfield,AXB
58,Reese Airpark,REE
59,Waldron Airstrip,WDN
60,Whale Pass Seaplane Float Harbor Facility,WWP
61,Chuathbaluk Airport,CHU
62,Ugashik Airport,UGS
63,Recreation and Conference Center Heliport,JID
64,Philadelphia Seaplane Base,PSQ
65,Levelock Airport,KLL
66,Saginaw Seaplane Base,SGW
67,Tuntutuliak Airport,WTL
68,Twin Hills Airport,TWA
69,Chignik Lake Airport,KCQ
70,Adado Airport,AAD
71,Atkamba Airport,ABP
72,Arica Airport,ACM
73,Andakombe Airport,ADC
74,El Daein Airport,ADV
75,Jebel Ali Seaplane Base,DJH
76,Adareil Airport,AEE
77,Aseki Airport,AEK
78,Ar Horqin Airport,AEQ
79,"""Ghost"" International Airport",KHT
80,Orūzgān Airport,URZ
81,Salerno Airport,OLR
82,Kondavattavana Tank Seaplane Base,AFK
83,Afore Airstrip,AFR
84,Afutara Aerodrome,AFT
85,Ulawa Airport,RNA
86,Uru Harbour Airport,ATD
87,Barakoma Airport,VEV
88,Geva Airport,GEF
89,Angoram Airport,AGG
90,Gwaunaru'u Airport,AKS
91,Bellona/Anua Airport,BNY
92,Choiseul Bay Airport,CHY
93,Ballalae Airport,BAS
94,Fera/Maringe Airport,FRE
95,Honiara International Airport,HIR
96,Babanakira Airport,MBU
97,Avu Avu Airport,AVU
98,Ngorangora Airport,IRA
99,Santa Cruz/Graciosa Bay/Luova Airport,SCZ
100,Munda Airport,MUA
101,Nusatupe Airport,GZO
102,Mono Airport,MNY
103,Parasi Airport,PRS
104,Rennell/Tingoa Airport,RNL
105,Sege Airport,EGM
106,Santa Ana Airport,NNB
107,Marau Airport,RUS
108,Suavanao Airport,VAO
109,Yandina Airport,XYA
110,Kagua Airport,AGK
111,Kaghau Airport,KGE
112,Kukudu Airport,KUE
113,Kwailabesi Airport,KWS
114,Wanigela Airport,AGL
115,Lomlom Airport,LLM
116,Nana Airport,NAZ
117,Manaoba Airport,MHM
118,Gatokae Aerodrome,GTA
119,Ringi Cove Airport,RIN
120,Ramata Airport,RBV
121,Tulaghi Heliport,TLG
122,Argyle Downs Airport,AGY
123,Hongyuan Airport,AHJ
124,Ambatolhy Airport,AHY
125,Aiome Airport,AIE
126,Aiambak Airport,AIH
127,Ailinglaplap Airok Airport,AIC
128,Chena Hot Springs Airport,CEX
129,Solomon State Field,SOL
130,Herendeen Bay Airport,HED
131,Taylor Airport,TWE
132,Tikchik Lodge Seaplane Base,KTH
133,Naukati Bay Seaplane Base,NKI
134,Point Lonely Short Range Radar Site Airfield,LNI
135,Candle 2 Airport,CDL
136,Amook Bay Seaplane Base,AOS
137,Boswell Bay Airport,BSW
138,Zakuoma Airport,AKM
139,Alitak Seaplane Base,ALZ
140,Mar de Cortés International Airport,PPE
141,Alto Molocue Airport,AME
142,Ama Airport,AMF
143,Amanab Airport,AMU
144,Ambatomainty Airport,AMY
145,Nauru International Airport,INU
146,Angus Downs Airport,ANZ
147,Catoca Airport,CTV
148,Andulo Airport,ANL
149,Cangamba Airport,CNZ
150,Dirico Airport,DRC
151,Capanda Airport,KNP
152,N'dalatando Airport,NDF
153,Annanberg Airport,AOB
154,Abou-Deïa Airport,AOD
155,Asapa Airport,APP
156,April River Airport,APR
157,Girdwood-Alyeska Airport,AQY
158,Bragado Airport,QRF
159,Caleta Olivia Airport,CVI
160,Charata Airport,CNT
161,General Villegas Airport,VGS
162,Los Menucos Airport,LMD
163,Valcheta Airport,VCF
164,Sunchales Aeroclub Airport,NCJ
165,Carmen de Patagones Airport,CPG
166,Termal Airport,PRQ
167,Aragip Airport,ARP
168,Asirim Airport,ASZ
169,Namatanai Airport,ATN
170,Aitape Airport,ATP
171,Lady Elliot Island Airstrip,LYT
172,Gruyere Airport,GYZ
173,Karara Airport,KQR
174,Alpha Airport,ABH
175,Agnew Airport,AGW
176,Alroy Downs Airport,AYD
177,Baniyala Airport,BYX
178,Coolibah Airport,COB
179,Coorabie Airport,CRJ
180,Carlton Hill Airport,CRY
181,Cresswell Downs Airport,CSD
182,Diamantina Lakes Airport,DYM
183,Hayman Island Resort Seaplane Base,HIS
184,Helenvale Airport,HLV
185,Kimberley Downs Airport,KBD
186,Kulgera Airport,KGR
187,Orchid Beach Airport,OKB
188,Peppimenarti Airport,PEP
189,Rockhampton Downs Airport,RDA
190,Sturt Creek Airport,SSK
191,Shaw River Airport,SWB
192,Tom Price Airport,TPR
193,Torwood Airport,TWP
194,Springvale Airport,ZVG
195,Aua Island Airport,AUI
196,Ambunti Airport,AUJ
197,Agaun Airport,AUP
198,Aumo Airport,AUV
199,Alowe Airport,AWE
200,Awar Airport (unusable),AWR
201,Alxa Left Banner Bayanhot Airport,AXF
202,Pantar Kabir Airport,AXO
203,Kompiam Airport,KPM
204,Buka Airport,BUA
205,Biaru Airport,BRP
206,Chimbu Airport,CMU
207,Munduku Airport,MDM
208,Kondobol Airport,KPF
209,Dinangat Airport,DNU
210,Doini Airport,DOI
211,Daru Airport,DAU
212,Embessa Airport,EMS
213,Edwaki Airport,XYR
214,Eliptamin Airport,EPT
215,Engati Airstrip,EGA
216,Emo River Airstrip,EMO
217,Erume Airport,ERU
218,Meselia Airport,MFZ
219,Feramin Airport,FRQ
220,Frieda River Airport,FAQ
221,Fuma Airport,FUM
222,Goroka Airport,GKA
223,Guari Airport,GUG
224,Garasa Airport,GRL
225,Gurney Airport,GUR
226,Gusap Airport,GAP
227,Girua Airport,PNP
228,Gasuke Airport,GBC
229,Habi Airport,HBD
230,Heiweni Airport,HNI
231,Honinabi Airport,HNN
232,Hoskins Airport,HKN
233,Haivaro Airport,HIT
234,Imane Airport,IMN
235,Kungim Airport,KGM
236,Imonda Airport,IMD
237,Aropa Airport,KIE
238,Ialibu Airport,IAL
239,Witu Airport,WIU
240,Yongai Airport,KGH
241,Losuia Airport,LSA
242,Kopiago Airport,KPA
243,Kiunga Airport,UNG
244,Kanainj Airport,KNE
245,Kikori Airport,KRI
246,Kerema Airport,KMA
247,Kar Kar Airport,KRX
248,Kuri Airport,KUQ
249,Kavieng Airport,KVG
250,Londolovit Airport,LNV
251,Lab Lab Airport,LAB
252,Lowai Airport,LWI
253,Leron Plains Airport,LPN
254,Lese Airport,LNG
255,Long Island Airport,LSJ
256,Yas Island Seaplane Base,AYM
257,Manari Airport,MRM
258,Morobe Airport,OBM
259,Madang Airport,MAG
260,Mount Hagen Kagamuga Airport,HGU
261,Mougulu Airport,GUV
262,Mendi Airport,MDU
263,Momote Airport,MAS
264,Moro Airport,MXH
265,Misima Island Airport,MIS
266,Marawaka Airport,MWG
267,Nankina Airport,NKN
268,Negarbo(Negabo) Airport,GBF
269,Manguna Airport,MFO
270,Kasonombe Airport,KSB
271,Nomane Airport,NMN
272,Nambaiyufa Airport,NBA
273,Nadzab Airport,LAE
274,Konge Airport,KGB
275,Oksapmin Airport,OKP
276,Komako Airport,HOC
277,Komaio Airport,KCJ
278,Koroba Airport,KDE
279,Open Bay Airport,OPB
280,Pangoa Airport,PGB
281,Pangia Airport,PGN
282,Mapoda Airport,MPF
283,Pumani Airport,PMN
284,Walluanda Airport,WLU
285,Port Moresby Jacksons International Airport,POM
286,Sopu Airport,SPH
287,Sialum Airport,SXA
288,Rumginae Airport,RMN
289,Karimui Airport,KMR
290,Maramuni Airport,MWI
291,May River Airstrip,MRH
292,Suabi Airport,SBE
293,Simberi Airport,NIS
294,Sila Airport,SIL
295,Sabah Airport,SBV
296,Simbai Airport,SIM
297,Selbang Airport,SBC
298,Sepik Plains Airport,SPV
299,Sauren Airport,SXW
300,Masa Airport,MBV
301,Tari Airport,TIZ
302,Tabubil Airport,TBG
303,Tapini Airport,TPI
304,Tokua Airport,RAB
305,Tekin Airport,TKW
306,Tep Tep Airport,TEP
307,Tsewi Airport,TSW
308,Tarakbits Airport,TRJ
309,Tawa Airport,TWY
310,Tekadu Airport,TKB
311,Aiyura Airport,AYU
312,Umba Airport,UMC
313,Uroubi Airport,URU
314,Upiara Airport,UPR
315,Uvol Airport,UVO
316,Talasea Airport,TLW
317,Torembi Airport,TCJ
318,Vanimo Airport,VAI
319,Tonu Airport,TON
320,Wabo Airport,WAO
321,Wapenamanda Airport,WBM
322,Wawoi Falls Airport,WAJ
323,Wewak International Airport,WWK
324,Wonenara Airport,WOA
325,Wakunai Airport,WKN
326,Wasu Airport,WSU
327,Woitape Airport,WTP
328,Wau Airport,WUG
329,Yeva Airport,YVD
330,Sim Airport,SMJ
331,Weam Airport,WEP
332,Arugam Bay SPB,AYY
333,Yalumet Airport,KYX
334,Yasuru Airport,KSX
335,Wasum Airport,WUM
336,Zabrat Airport,ZXT
337,Fuzuli International Airport,FZL
338,Lava Falls Heliport,HAE
339,Amazon Bay Airport,AZB
340,Zhenjiang Dalu Airport,AZJ
341,Bali Airport,BAJ
342,Bambu Airport,BCP
343,Benguera Island Airport,BCW
344,Milyakburra Airport,BCZ
345,Willmar Municipal Airport John L Rice Field (2006),ILL
346,Baindoung Airport,BDZ
347,Malevo Airfield,HKV
348,Bezmer Air Base,JAM
349,Aasiaat Airport,JEG
350,Aappilattoq Heliport,AOQ
351,Tasiilaq Heliport,AGM
352,Aappilattoq Heliport,QUV
353,Arsuk Heliport,JRK
354,Ammassivik Heliport,QUW
355,Attu Heliport,QGQ
356,Narsarsuaq Airport,UAK
357,Qasigiannguit Heliport,JCH
358,Neerlerit Inaat Airport,CNP
359,Eqalugaarsuit Heliport,QFG
360,Kangilinnguit Heliport,JGR
361,Nuuk Airport,GOH
362,Qeqertarsuaq Heliport,JGO
363,Ikerasak Heliport,IKE
364,Iginniarfik Heliport,QFI
365,Ikerassaarsuk Heliport,QRY
366,Ilimanaq Heliport,XIQ
367,Innarsuit Heliport,IUI
368,Isortoq Heliport,IOQ
369,Ikamiut Heliport,QJI
370,Qaqortoq Heliport,JJU
371,Ilulissat Airport,JAV
372,Kangaatsiaq Heliport,QPW
373,Kulusuk Airport,KUS
374,Kuummiut Heliport,KUZ
375,Kullorsuaq Heliport,KHQ
376,Kangersuatsiaq Heliport,KGQ
377,Kitsissuarsuit Heliport,QJE
378,Illorsuit Heliport,IOT
379,Maniitsoq Airport,JSU
380,Nanortalik Heliport,JNN
381,Nuugaatsiaq Heliport,JUU
382,Narsaq Heliport,JNS
383,Niaqornat Heliport,NIQ
384,Nuussuaq Heliport,NSQ
385,Paamiut Airport,JFR
386,Qeqertaq Heliport,PQT
387,Qaanaaq Airport,NAQ
388,Qassimiut Heliport,QJH
389,Ittoqqortoormiit Heliport,OBY
390,Kangerlussuaq Airport,SFJ
391,Sermiligaaq Heliport,SGG
392,Siorapaluk Heliport,SRK
393,Saarloq Heliport,QOQ
394,Sisimiut Airport,JHS
395,Saattut Heliport,SAE
396,Savissivik Heliport,SVR
397,Tasiusaq Heliport,TQA
398,Pituffik Space Base,THU
399,Tiniteqilaaq Heliport,TQI
400,Tasiusaq Heliport,XEQ
401,Upernavik Airport,JUV
402,Uummannaq Heliport,UMD
403,Qaarsut Airport,JQA
404,Ukkusissat Heliport,JUK
405,Bahía de los Ángeles Airport,BHL
406,Brighton Downs Airport,BHT
407,Akureyri Airport,AEY
408,Bildudalur Airport,BIU
409,Borgarfjörður eystri Airport,BGJ
410,Bakkafjörður Airport,BJD
411,Hjaltabakki Airport,BLO
412,Búðardalur Airport,BQD
413,Breiðdalsvík Airport,BXV
414,Djúpivogur Airport,DJU
415,Egilsstaðir Airport,EGS
416,Fáskrúðsfjörður Airport,FAS
417,Fagurhólsmýri Airport,FAG
418,Grundarfjörður Airport,GUU
419,Gjögur Airport,GJR
420,Grímsey Airport,GRY
421,Hólmavík Airport,HVK
422,Hornafjörður Airport,HFN
423,Holt Airport,FLI
424,Húsavík Airport,HZK
425,Ingjaldssanður Airport,HLO
426,Ísafjörður Airport,IFJ
427,Keflavik International Airport,KEF
428,Kópasker Airport,OPA
429,Sauðárkrókur Airport,SAK
430,Norðfjörður Airport,NOR
431,Ólafsfjörður Airport,OFJ
432,Patreksfjörður Airport,PFJ
433,Reykhólar Airport,RHA
434,Rif Airport,OLI
435,Raufarhöfn Airport,RFN
436,Reykjavik Airport,RKV
437,Reykjahlíð Airport,MVA
438,Siglufjörður Airport,SIJ
439,Stykkishólmur Airport,SYK
440,Þingeyri Airport,TEY
441,Þórshöfn Airport,THO
442,Vestmannaeyjar Airport,VEY
443,Vopnafjörður Airport,VPN
444,Baleela Airport,BJE
445,Bahja Airport,BJQ
446,Bentota River Waterdrome,BJT
447,Priština Adem Jashari International Airport,PRN
448,Bomai Airport,BMH
449,Bamburi Airport,BMQ
450,Bamu Airport,BMZ
451,Baranof Warm Springs Float and Seaplane Base,BNF
452,Bodinumu Airport,BNM
453,Bundi Airport,BNT
454,Boana Airport,BNV
455,Rurrenabaque Airport,RBQ
456,Baures Airport,BVL
457,Brookings Airport,BOK
458,Bosset Airport,BOT
459,Boang Airport,BOV
460,Batuna Aerodrome,BPF
461,Bartlett Cove Seaplane Base,BQV
462,Pedro Vieira Moreira Airport,CJZ
463,Glauber de Andrade Rocha Airport,VDC
464,Alenquer Municipal Airport,ALT
465,Bimini North Seaplane Base,NSB
466,Bensbach Airport,BSP
467,Besakoa Airport,BSV
468,Betong International Airport,BTZ
469,Bulolo Airport,BUL
470,Esperadinha Airport,BVR
471,Hukuntsi Airport,HUK
472,Bawan Airport,BWJ
473,Bewani Airport,BWP
474,Blue Lagoon Seaplane Base,BXL
475,Bunsil Airport,BXZ
476,Orsha Airport - Balbasovo Air Base,TXC
477,Boundary Airport,BYA
478,Bella Yella Airport,BYL
479,Beira Lake Seaplane Base,BYV
480,Hector Silva Airstrip,BCV
481,Big Creek Airport,BGK
482,Caye Caulker Airport,CUK
483,Caye Chapel Airport,CYC
484,Corozal Airport,CZH
485,Dangriga Airport,DGA
486,Independence Airport,INB
487,Melinda Airport,MDB
488,H.E Alfredo Martinez (Tower Hill) Airstrip,ORZ
489,Placencia Airport,PLJ
490,Punta Gorda Airport,PND
491,Sartaneja Airport,SJX
492,John Greif II Airport,SPR
493,Matthew Spain Airport,SQS
494,Santa Cruz Airport,STU
495,Silver Creek Airport,SVK
496,Sir Barry Bowen Municipal Airport,TZA
497,Bazaruto Island Airport,BZB
498,Bemolanga Airport,BZM
499,Primrose Airport,PFM
500,Saglek Airport,YSV
501,Stuart Island Airstrip,YRR
502,Mary River Aerodrome,YMV
503,Hakai Passage Water Aerodrome,YHC
504,Montague Harbour Seaplane Base,YMF
505,Paradise Skypark Airport,PYS
506,Bedwell Harbour Seaplane Base,YBW
507,Tofino Harbour Seaplane Base,YTP
508,Nanaimo Harbour Water Aerodrome,ZNA
509,Trail Regional Airport,YZZ
510,Merritt Airport,YMB
511,Campbell River Seaplane Base,YHH
512,Whistler/Green Lake Water Aerodrome,YWS
513,Bamfield Seaplane Base,YBF
514,Big Bay Seaplane Base,YIG
515,Chilko Lake (Tsylos Park Lodge) Airport,CJH
516,Pender Harbour Seaplane Base,YPT
517,Ocean Falls Seaplane Base,ZOF
518,Courtenay Airpark,YCA
519,Creston Valley Regional Airport - Art Sutcliffe Field,CFQ
520,Anahim Lake Airport,YAA
521,Douglas Lake Airport,DGF
522,Fort MacKay/Albian Aerodrome,JHL
523,Tahsis Seaplane Base,ZTS
524,Duncan Airport,DUQ
525,Sechelt-Gibsons Airport,YHS
526,Kitkatla Seaplane Base,YKK
527,Queen Charlotte City Seaplane Base,ZQS
528,Powell Lake Seaplane Base,WPL
529,Qualicum Beach Airport,XQU
530,Port McNeill Airport,YMP
531,Rivers Inlet Seaplane Base,YRN
532,Sullivan Bay Seaplane Base,YTG
533,Mansons Landing Seaplane Base,YMU
534,Mayne Island Seaplane Base,YAV
535,Bella Bella/Shearwater Seaplane Base,YSX
536,Ganges Seaplane Base,YGG
537,Hartley Bay Seaplane Base,YTB
538,Cache Creek-Ashcroft Regional Airport,YZA
539,Bella Bella (Campbell Island) Airport,ZEL
540,Cherrabun Airport,CBC
541,Alberni Valley Regional Airport,YPB
542,Bob Quinn Lake Airport,YBO
543,Tungsten (Cantung) Airport,TNS
544,Tumbler Ridge Airport,TUX
545,Williams Harbour Airport,YWM
546,Postville Airport,YSO
547,Black Tickle Airport,YBI
548,Charlottetown Airport,YHG
549,St. Lewis (Fox Harbour) Airport,YFX
550,Port Hope Simpson Airport,YHA
551,Rigolet Airport,YRG
552,Kasongo-Lunda Airport,KGN
553,Pweto Airport (New),PWO
554,George T Lewis Airport,CDK
555,Diavik Airport,DVK
556,Doris Lake,JOJ
557,Fairview Airport,ZFW
558,Jasper-Hinton Airport,YJP
559,Whatì Airport,YLE
560,Drayton Valley Industrial Airport,YDC
561,Fort McMurray / Mildred Lake Airport,NML
562,Conklin (Leismer) Airport,CFM
563,Kavadja Airport,KWD
564,Taltheilei Narrows Airport,GSL
565,Macmillan Pass Airport,XMP
566,Great Bear Lake Airport,DAS
567,Fort Mackay / Firebag,YFI
568,Wekweètì Airport,YFJ
569,Donnelly Airport,YOE
570,Cheadle Airport,TIL
571,Okoyo Airport,OKG
572,Craig Seaplane Base,CGA
573,Cape Gloucester Airport,CGC
574,Casiguran Airport,CGG
575,Gahcho Kue,GHK
576,Circle Hot Springs Airport,CHP
577,Chomley Seaplane Base,CIV
578,Laurie River Airport,LRQ
579,Hatchet Lake Airport,YDJ
580,Kasba Lake Airport,YDU
581,Fort Reliance Seaplane Base,YFL
582,Cluff Lake Airport,XCL
583,Knee Lake Airport,YKE
584,Summer Beaver Airport,SUR
585,Crooked Creek Airport,CKD
586,Tisdale Airport,YTT
587,Wapekeka Airport,YAX
588,Wunnumin Lake Airport,WNN
589,Opapimiskan Lake Airport,YBS
590,North Spirit Lake Airport,YNO
591,Crane Island Airstrip,CKR
592,Cordova Municipal Airport,CKU
593,North of Sixty Airport,YDW
594,Chicken Airport,CKX
595,Nuevo Chaitén Airport,WCH
596,New Cametá Airport,CMT
597,Caia Airport,CMZ
598,Tangshan Sannühe Airport,TVS
599,Yuanmou Air Base,YUA
600,Zhangjiakou Ningyuan Airport,ZQZ
601,Baoshan Yunrui Airport,BSD
602,Dazu Air Base,DZU
603,Lincang Boshang Airport,LNJ
604,Xigaze Peace Airport / Shigatse Air Base,RKZ
605,Panzhihua Bao'anying Airport,PZI
606,Zigong Fengming Airport,ZKL
607,Foshan Shadi Airport,FUO
608,Bazhong Enyang Airport,BZX
609,Xinyang Minggang Airport,XAI
610,Huizhou Pingtan Airport,HUZ
611,Shangluo Airport,DFA
612,Shaoguan Danxia Airport,HSC
613,Jinggangshan Airport,JGS
614,Baise (Bose) Bama Airport,AEB
615,Lianyungang Huaguoshan International Airport,LYG
616,Dongying Shengli Airport,DOY
617,Xingcheng Air Base,XEN
618,Altay Xuedu Airport,AAT
619,Tianshui Maijishan Airport,THQ
620,Zhangye Ganzhou Airport,YZY
621,Morin Dawa Banner Airport,DWS
622,Shijiazhuang Luancheng Airport,LCT
623,Wuhan Hannan Municipal Airport,WHN
624,Beijing Nanjiao Airport,NAY
625,Dandong Langtou Airport,DDG
626,Harbin Pingfang Airport,PFA
627,Penglai Shahekou Airport,PNJ
628,Binzhou Daguo Airport,CBZ
629,Rikaze Dingri Airport,DDR
630,Tashikuergan Hongqilafu Airport,HQL
631,Jiande Qiandaohu General Airport,JDE
632,Zhaodong Beidahuang General Airport,HLJ
633,Taiyuan Yaocheng Airport,TYC
634,Orku Baikouquan Airport (under construction),WRH
635,Ruijin Airport,JRJ
636,Zhanjiang Wuchuan Airport,ZHA
637,Ali Pulan Airport,APJ
638,Zhaosu Tianma Airport,ZFL
639,Yinchuan Yueyahu Airport,YEH
640,Longchuan Guangsong Airport,LCS
641,Lanping Fenghua General Airport,LFH
642,Zhongshan Ferry Port,ZGN
643,Bozhou Airport (under construction),BZJ
644,Bailing Airport,BKV
645,Hejing Bayinbuluke Airport,HJB
646,Otog Front Banner Oljoq Airport,OTQ
647,Qitai Jiangbulake Airport,JBK
648,Lishui Airport (under construction),LIJ
649,Nanchang Yaohu Airport,YHJ
650,Otog Banner Wulan Airport,OTO
651,Nantong Xingdong International Airport,NTG
652,Bearskin Lake Airport,XBE
653,Natuashish Airport,YNP
654,White River Seaplane Base,YWR
655,Parry Sound Area Municipal Airport,YPD
656,Brockville - Thousand Islands Regional Tackaberry Airport,XBR
657,Kingfisher Lake Airport,KIF
658,Ogoki Post Airport,YOG
659,Virgilio Barco Vargas (La Chorrera) Airport,LCR
660,Las Cruces Airport,SNT
661,Tarapacá Airport,TCD
662,Bar River Airport,YEB
663,Cape Orford Airport,CPI
664,Parry Sound/Frying Pan Island-Sans Souci Seaplane Base,YSI
665,Poplar Hill Airport,YHP
666,Keewaywin Airport,KEW
667,Cóbano Airport,ACO
668,Reef Hueston Helicopter Landing,XVQ
669,Kirby Lake Airport,KFM
670,Sable Island Landing Strip,YSA
671,Lebel-sur-Quevillon Airport,YLS
672,Snap Lake Airport,YNX
673,La Sarre Airport,SSQ
674,Chisasibi Airport,YKU
675,Tête-à-la-Baleine Airport,ZTB
676,Kégashka Airport,ZKG
